21 21     
Row Col Type Precision   
1 1 1 Resi   
1 11 1 Resi   
1 15 1 Resi   
2 1 1 Resi   
2 3 1 Resi   
2 4 1 Resi   
2 5 1 Resi   
2 8 1 Resi   
2 12 1 Resi   
2 14 1 Resi   
2 15 1 Resi   
3 17 1 Resi   
4 4 1 Resi   
4 5 1 Resi   
4 7 1 Resi   
4 8 1 Resi   
4 9 1 Resi   
4 13 1 Resi   
4 18 1 Resi   
5 1 1 Resi   
5 5 1 Resi   
5 7 1 Resi   
5 8 1 Resi   
5 9 1 Resi   
5 13 1 Resi   
5 17 1 Resi   
5 18 1 Resi   
5 19 1 Resi   
6 6 1 Resi   
6 9 1 Resi   
6 10 1 Resi   
6 12 1 Resi   
6 16 1 Resi   
6 17 1 Resi   
6 19 1 Resi   
7 2 1 Resi   
7 15 1 Resi   
7 16 1 Resi   
8 5 1 Resi   
8 6 1 Resi   
9 1 1 Resi   
9 2 1 Resi   
9 5 1 Resi   
9 6 1 Resi   
9 9 1 Resi   
9 17 1 Resi   
9 18 1 Resi   
10 2 1 Resi   
10 5 1 Resi   
10 16 1 Resi   
10 17 1 Resi   
10 18 1 Resi   
11 1 1 Resi   
11 2 1 Resi   
11 5 1 Resi   
12 5 1 Resi   
13 15 1 Resi   
14 10 1 Resi   
14 11 1 Resi   
14 15 1 Resi   
15 1 1 Resi   
15 5 1 Resi   
15 14 1 Resi   
15 17 1 Resi   
16 4 1 Resi   
16 14 1 Resi   
16 17 1 Resi   
17 2 1 Resi   
17 5 1 Resi   
17 7 1 Resi   
17 8 1 Resi   
17 9 1 Resi   
17 14 1 Resi   
18 2 1 Resi   
18 5 1 Resi   
18 8 1 Resi   
2 16 2 Work   
4 17 2 Work   
6 13 2 Work   
6 18 2 Work   
7 12 2 Work   
8 7 2 Work   
8 10 2 Work   
8 11 2 Work   
9 7 2 Work   
9 10 2 Work   
9 12 2 Work   
9 13 2 Work   
10 1 2 Work   
10 9 2 Work   
10 10 2 Work   
10 12 2 Work   
11 7 2 Work   
11 10 2 Work   
11 12 2 Work   
12 8 2 Work   
12 9 2 Work   
12 11 2 Work   
12 12 2 Work   
12 13 2 Work   
13 12 2 Work   
14 7 2 Work   
14 8 2 Work   
14 9 2 Work   
16 10 2 Work   
16 11 2 Work   
