Period NodeTypeO NodeTypeD # %
0 0 0 224 0.00112
0 0 1 222 0.00111
0 0 2 225 0.001125
0 1 0 214 0.00107
0 1 1 229 0.001145
0 1 2 239 0.001195
0 2 0 227 0.001135
0 2 1 253 0.001265
0 2 2 210 0.00105
1 0 0 1096 0.00548
1 0 1 1127 0.005635
1 0 2 5196 0.02598
1 1 0 5362 0.02681
1 1 1 5197 0.025985
1 1 2 44339 0.221695
1 2 0 1120 0.0056
1 2 1 1100 0.0055
1 2 2 5149 0.025745
2 0 0 4473 0.022365
2 0 1 4593 0.022965
2 0 2 4589 0.022945
2 1 0 4618 0.02309
2 1 1 4570 0.02285
2 1 2 4534 0.02267
2 2 0 4348 0.02174
2 2 1 4418 0.02209
2 2 2 4472 0.02236
3 0 0 1148 0.00574
3 0 1 5202 0.02601
3 0 2 1122 0.00561
3 1 0 1176 0.00588
3 1 1 5153 0.025765
3 1 2 1112 0.00556
3 2 0 5129 0.025645
3 2 1 44284 0.22142
3 2 2 5185 0.025925
4 0 0 1989 0.009945
4 0 1 1892 0.00946
4 0 2 2034 0.01017
4 1 0 2015 0.010075
4 1 1 2060 0.0103
4 1 2 2114 0.01057
4 2 0 1996 0.00998
4 2 1 2042 0.01021
4 2 2 2003 0.010015
