t_departure t_arrival
4488046 4563881
2288589 2327923
6225378 6264479
6800146 6842081
4211658 4248905
4887629 4965034
5761246 5826424
6088371 6124442
8247715 8321269
6375724 6438152
2473984 2543252
6090579 6137820
3306296 3363393
5944813 5976905
2444850 2473653
4816976 4850072
6655283 6713631
3188383 3245329
2761920 2824042
6740651 6804995
6185859 6222805
2197581 2276606
5667860 5748129
4494046 4529052
6457646 6509252
2446615 2498757
7138310 7240741
3221111 3281839
3850316 3917517
3077658 3120316
6255486 6293035
3126169 3192059
6244192 6312763
3285571 3350287
5468617 5560255
2938245 3025831
6830300 6866903
8092085 8140347
3328693 3368467
5531980 5614577
5795075 5845496
6874648 6944972
6923142 7012869
4290067 4363693
5777881 5821367
2668364 2756320
6707816 6799640
3512425 3598275
6759210 6787297
2821893 2877618
5798016 5851417
6525713 6593885
2624774 2691071
2196388 2289578
3850050 3898535
7856360 7913100
6819363 6894200
3907212 3947305
2312271 2344261
4055007 4151922
3838645 3876747
4235958 4271131
4066706 4127946
5666957 5760721
2701467 2785096
7019126 7072907
3172297 3278124
5609684 5651886
2213197 2255470
6384730 6429361
6533964 6591543
3258343 3313427
7783143 7844519
2754088 2817786
4695487 4737591
5022577 5068363
3402298 3506562
6200740 6252383
2585234 2631470
2250963 2319590
6756055 6833108
3731761 3843269
2792219 2840131
5497912 5540801
3388769 3451918
5842735 5907717
2729783 2794117
4055885 4144030
8137833 8180517
4973060 5056649
5704687 5794318
6252330 6314185
3960082 3996761
3363453 3419788
5423882 5487122
3779072 3868774
2558681 2610259
6057000 6107956
2717537 2759164
7415971 7452103
3568369 3607869
2937346 3035763
7882235 7913253
3362323 3423058
5679035 5737631
2481360 2566769
6250513 6333941
7590938 7650624
3406820 3448789
3162232 3244275
3382841 3443939
5617900 5678618
6280116 6349110
2897167 2964026
5606048 5631986
2726255 2756265
3871448 3943442
4208188 4272027
6749046 6844925
2833653 2893836
2339857 2383147
6010854 6066166
8054382 8158598
6634007 6685862
3155025 3208816
3458651 3491760
4087838 4170154
4490983 4547028
3197522 3231428
5540677 5624900
2581263 2660724
2489946 2560830
6796516 6868694
3394364 3455161
6187635 6251365
2602125 2642482
5576440 5618583
5469765 5541220
2345226 2415757
2943400 2971521
5790669 5859711
3188758 3252292
5998352 6034298
3163071 3197880
7106026 7174495
4563470 4622840
3377283 3432864
5012099 5065805
5461306 5516437
5565348 5614599
2642885 2692964
5571239 5619984
6695505 6777451
3190648 3270461
2658143 2727786
5878598 5945907
5754885 5812177
3320285 3371543
3502200 3559508
4646816 4730814
2638419 2674821
6798919 6823798
7804844 7849621
3722666 3792950
3316111 3351430
6785904 6821613
6653669 6710826
6156113 6213796
2853431 2906611
2988994 3058928
8254006 8314168
4858174 4923313
3541969 3605880
4886936 4990960
3406775 3444170
7642437 7689591
3091754 3127124
3798679 3868766
2326025 2380282
6789206 6823881
7335329 7399995
4903269 4969466
5044907 5108277
2314958 2366775
6858438 6920713
6526133 6565047
2256393 2292746
3090130 3131705
6340299 6442059
8419566 8470945
2933687 3014292
2560207 2640233
6685953 6765846
2571387 2636563
6687474 6753724
5738767 5775658
2188175 2243275
3826345 3872527
2448967 2511731
2245209 2348184
5037598 5092641
5798596 5843782
3238517 3284767
8239225 8268119
3311401 3349601
3787299 3849490
3124243 3159430
6035034 6071390
3166578 3200333
5452329 5485782
6035602 6125175
2636467 2722641
2903444 2969799
5958511 6022025
5857233 5908208
2613897 2666445
2806059 2882408
4222110 4260904
6336554 6365807
4476756 4577091
6539990 6587414
2786795 2839162
6076027 6127293
2973225 3024587
5100367 5198428
3378404 3410983
5476623 5509757
1824020 1897000
5873288 5902099
3164869 3195692
4611890 4645977
2167819 2224613
6286781 6348001
6512906 6557120
7986089 8026598
4366176 4406442
2285638 2341179
3236782 3299757
5629729 5695037
4163878 4246139
5796573 5861216
5339829 5397612
6392894 6446602
5458508 5505833
2777896 2820050
3232967 3309633
4186624 4252428
4884559 4959992
5689350 5768364
3938379 4021753
2277109 2348655
6733633 6803653
3371802 3440810
5852411 5924311
7305794 7368733
7404450 7471197
7551807 7618202
2617445 2674334
6377577 6431057
5726083 5767497
3099727 3145609
3879474 3907710
7957491 8028858
6163081 6227072
6575824 6629324
5333843 5392018
6158102 6216440
5945404 5986750
3574895 3626759
8365226 8416032
4936399 4971956
3244692 3314856
5542820 5627717
5555641 5616538
2758869 2821335
2359921 2407820
5984330 6040588
2917645 2986702
8132824 8164407
6559618 6623704
2413006 2476699
6292711 6371154
